,Shop,Country,Manufacturer,Model,Assembled,Build envelope(W x D x H mm),Image,Technology,Price(US$),Lead time,lat,long,Unnamed: 0,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
267,,,ExOne,Innovent,,,,,,,,,Click for Details,,,Binder Jetting,"Metal, Ceramic, Composite","Steel, Bronze, Iron, Cobalt, Glass, Graphite, Refractory Metal, Carbon-Metal Composite",6.3,2.56,2.56,"$100,000 - $249,999",
268,,,ExOne,M-Flex,,,,,,,,,Click for Details,,,Binder Jetting,"Metal, Ceramic, Composite","Steel, Bronze, Iron, Cobalt, Glass, Graphite, Refractory Metal, Carbon-Metal Composite",15.7,9.8,9.8,"$250,000 - $499,999",
269,,,ExOne,M-Print,,,,,,,,,Click for Details,,,Binder Jetting,Metal,Steel,31.5,19.68,15.75,"$100,000 - $249,999",
270,,,ExOne,S-Max Furan,,,,,,,,,Click for Details,,,Binder Jetting,Sand,"Silicate, Zircon, Chromite",70.9,39.37,27.56,"Greater than $1,000,000",
271,,,ExOne,S-Max+ Phenolic,,,,,,,,,Click for Details,,,Binder Jetting,Sand,"Silicate, Zircon, Chromite",70.9,39.37,23.6,"Greater than $1,000,000",
272,,,ExOne,S-Print Furan,,,,,,,,,Click for Details,,,Binder Jetting,Sand,"Silicate, Zircon, Chromite",31.5,19.68,15.75,"$500,000 - $999,999",
273,,,ExOne,S-Print Phenol,,,,,,,,,Click for Details,,,Binder Jetting,Sand,"Silicate, Zircon, Chromite",31.5,19.68,15.75,"$500,000 - $999,999",
274,,,ExOne,S-Print Silicate,,,,,,,,,Click for Details,,,Binder Jetting,Sand,"Silicate, Zircon, Chromite",31.5,19.68,15.75,"$500,000 - $999,999",
275,,,Fabrisonic,SonicLayer 4000,,,,,,,,,Click for Details,,,Sheet Lamination,Metal,"Aluminum, Steel, Titanium, Nickel, Copper, Gold, Silver, Refractory Metal",40.0,24.0,24.0,"Greater than $1,000,000",
276,,,Fabrisonic,SonicLayer 7200,,,,,,,,,Click for Details,,,Sheet Lamination,Metal,"Aluminum, Steel, Titanium, Nickel, Copper, Gold, Silver, Refractory Metal",72.0,72.0,36.0,"Greater than $1,000,000",
277,,,Fabrisonic,SonicLayer R200,,,,,,,,,Click for Details,,,Sheet Lamination,Metal,"Aluminum, Steel, Titanium, Nickel, Copper, Gold, Silver, Refractory Metal",22.0,12.0,10.0,"$250,000 - $499,999",
278,,,Fonon Corporation,3D Fusion 150,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Steel, Titanium, Nickel, Cobalt",16.54,16.54,15.75,Price not reported,
281,,,FORMALLOY,L-series,,,,,,,,,Click for Details,,2000,Directed Energy Deposition,Metal,"Titanium, Nickel, Cobalt, Steel, Copper",11.81,11.81,7.87,"$100,000 - $249,999",
282,,,FORMALLOY,X-series,,,,,,,,,Click for Details,,8000,Directed Energy Deposition,Metal,"Titanium, Nickel, Cobalt, Steel, Copper",78.74,78.74,78.74,"$250,000 - $499,999",
283,,,GEFERTEC,arc405,,,,,,,,,Click for Details,,,Directed Energy Deposition,Metal,,15.75,15.75,19.69,"$250,000 - $499,999",
284,,,GEFERTEC,arc603,,,,,,,,,Click for Details,,,Directed Energy Deposition,Metal,,43.31,55.12,61.42,"$500,000 - $999,999",
285,,,GEFERTEC,arc605,,,,,,,,,Click for Details,,,Directed Energy Deposition,Metal,,35.43,35.43,43.31,"$500,000 - $999,999",
286,,,Guangdong Hanbang 3D Tech,HBD-100,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium, Aluminum, Nickel",4.13,4.13,3.94,Price not reported,
288,,,Guangdong Syndaya 3D Technology,DiMetal-100,,,,,,,,,Click for Details,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum",9.8,9.8,11.8,Price not reported,
289,,,Guangdong Syndaya 3D Technology,DiMetal-280,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum",9.8,9.8,11.8,Price not reported,
291,,,Guangdong Syndaya 3D Technology,DiMetal-400,,,,,,,,,Click for Details,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum",15.7,15.7,15.7,Price not reported,
293,,,Guangdong Syndaya 3D Technology,DiMetal-50,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Aluminum",2.0,2.0,2.0,Price not reported,
295,,,HP,HP Jet Fusion 340 3D Printer,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,7.48,10.0,9.76,Price not reported,
296,,,HP,HP Jet Fusion 380 3D Printer,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,7.48,10.0,9.76,Price not reported,
297,,,HP,HP Jet Fusion 3D 4200 Printer,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,15.0,11.0,15.0,"$100,000 - $249,999",
298,,,HP,HP Jet Fusion 3D 4210 Printer,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,15.0,11.0,15.0,"$100,000 - $249,999",
299,,,HP,HP Jet Fusion 540 3D Printer,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,7.48,13.07,9.76,Price not reported,
300,,,HP,HP Jet Fusion 580 3D Printer,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Polymer,PA,7.48,13.07,9.76,Price not reported,
301,,,Hunan Farsoon,Farsoon 252P,,,,,,,,,Click for Details,HT,60,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",9.84,9.84,12.6,"$100,000 - $249,999",
303,,,Hunan Farsoon,Farsoon 403P Series,,,,,,,,,Click for Details,FS,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",15.7,15.7,17.7,"$250,000 - $499,999",
306,,,Hunan Farsoon,Farsoon eForm,,,,,,,,,Click for Details,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",9.84,9.84,12.6,"$100,000 - $249,999",
307,,,Hunan Farsoon,FS121M,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium",4.72,4.72,3.94,"$250,000 - $499,999",
308,,,Hunan Farsoon,FS271M Series,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt",10.83,10.83,12.6,"$250,000 - $499,999",
309,,,Hunan Farsoon,FS421M,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium, Aluminum, Bronze, Nickel",16.54,16.54,16.54,"$250,000 - $499,999",
310,,,Hunan Farsoon,HT1001P,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Carbon, PA-Mineral",39.37,19.69,17.72,Price not reported,
311,,,Impossible Objects,CBAM Model One System,,,,,,,,,Click for Details,,,Sheet Lamination,"Composite, Polymer","PA-Carbon, PEEK-Carbon",11.0,15.0,4.0,Price not reported,
312,,,InssTek,MX-1000,,,,,,,,,Click for Details,"3 Axis Motion Model, SDM 1200",2000,Directed Energy Deposition,Metal,"Steel, Copper, Aluminum, Titanium, Nickel, Cobalt, Tin, Refractory Metal",39.3701,31.49608,25.590564999999998,"$500,000 - $999,999",
318,,,InssTek,MX-400,,,,,,,,,Click for Details,3 Axis Motion,500,Directed Energy Deposition,Metal,"Steel, Nickel",15.75,17.72,11.81,"$500,000 - $999,999",
320,,,InssTek,MX-600,,,,,,,,,Click for Details,3 Axis Motion,1000,Directed Energy Deposition,Metal,"Steel, Nickel",17.7,23.6,13.7,"$500,000 - $999,999",
322,,,InssTek,MX-Grande,,,,,,,,,Click for Details,6 Axis Motion; 3 axis machine,5000,Directed Energy Deposition,Metal,,157.4,39.3,39.3,"Greater than $1,000,000",
324,,,InssTek,MX-Mini,,,,,,,,,Click for Details,3 Axis Motion,300,Directed Energy Deposition,Metal,,7.8,7.8,7.8,Price not reported,
326,,,INTAMSYS,FUNMAT PRO,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, ABS, PA, TPU, PA-Carbon, PLA-Carbon",17.72,17.72,23.62,"Less than $49,999",
327,,,INTAMSYS,FUNMAT PRO HT,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Polymer, Composite","PEEK, PEI, PLA, ABS, PA, TPU, PC, PA-Carbon, PLA-Carbon",17.72,17.72,23.62,"Less than $49,999",
328,,,J Group Robotics,Delta HC 500,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PLA, ABS, ASA, PA, PP, PLA-Carbon, ABS-Carbon, PA-Carbon, PETG-Carbon, PC-Carbon, PETG, PETG-Glass, PC, ABS/PC, ASA/PC, PVA, HIPS",19.69,19.69,23.62,"Less than $49,999",
329,,,J Group Robotics,Delta HC 666,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PEI, PEI-Carbon, PPSF, PSU, PEEK, PLA, ABS, ASA, PA, PP, PLA-Carbon, ABS-Carbon, PA-Carbon, PETG-Carbon, PC-Carbon, PETG, PETG-Glass, PC, ABS/PC, ASA/PC, PVA, HIPS",15.75,15.75,19.69,"$100,000 - $249,999",
330,,,JewelKreator,JewelKreator Ultra,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,4.57,2.56,5.91,"Less than $49,999",
331,,,Keyence,Agilista-3110,,,,,,,,,Click for Details,,,Material Jetting,Polymer,Resin,11.69,8.27,7.87,"Less than $49,999",
332,,,Keyence,Agilista-3200,,,,,,,,,Click for Details,,,Material Jetting,Polymer,"Rubber-like, silicone-like, resin",11.69,8.27,7.87,"Less than $49,999",
333,,,Laseradd,DiMetal-300,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium, Nickel",9.84,9.84,11.81,Price not reported,
334,,,Laseradd,Laseradd DiMetal-100,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium",3.94,3.94,3.94,Price not reported,
336,,,Laseradd,Laseradd DiMetal-50,,,,,,,,,Click for Details,,70,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium",1.97,1.97,1.97,Price not reported,
338,,,Laseradd,SLS-400,,,,,,,,,Click for Details,,55,Powder Bed Fusion (e.g. SLS),"Polymer, Ceramic","PA, PP",15.75,15.75,15.75,Price not reported,
339,,,Leapfrog,Bolt Pro,,,,,,,,,Click for Details,Double Extruder,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, ABS, HIPS, Flex, PA, Hybrid, Woodfill, PVA, Carbon",12.6,11.81,8.07,"Less than $49,999",
343,,,Leapfrog,XceL,,,,,,,,,Click for Details,Dual Extruder,,Material Extrusion (e.g. FDM),"Polymer, Composite","PLA, ABS, HIPS, Flex, PA, Hybrid, Woodfill, PVA, Carbon",20.47,20.08,91.34,"Less than $49,999",
347,,,Lithoz,CeraFab 7500,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Ceramic,"Zirconia-like, Alumina-like",3.0,1.7,5.9,"$100,000 - $249,999",
348,,,Lithoz,CeraFab 8500,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Ceramic,"Zirconia-like, Alumina-like",4.5,2.6,5.9,"$100,000 - $249,999",
349,,,LUTUM,LUTUM v4 DUAL extruder 3D Clay Printer,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Ceramic,Clay,16.93,17.72,19.69,"Less than $49,999",
350,,,LUTUM,LUTUM v4 MXL 3D Clay Printer,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Ceramic,Clay,16.93,17.72,31.5,"Less than $49,999",
351,,,LUTUM,LUTUM v4 Standard 3D Clay Printer,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Ceramic,Clay,16.93,17.72,19.69,"Less than $49,999",
352,,,MarkForged,Mark Two,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Aramid",12.6,5.2,6.0,"Less than $49,999",
353,,,MarkForged,Metal X,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Metal,Steel,9.8,7.2,5.9,"$50,000 - $99,999",
354,,,MarkForged,Onyx One,,,,,,,,,Click for Details,Professional,,Material Extrusion (e.g. FDM),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Aramid",12.6,5.2,6.0,"Less than $49,999",
356,,,MarkForged,Onyx Pro,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PA, PA-Glass",12.6,5.2,6.0,"Less than $49,999",
357,,,MarkForged,X3,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Composite, Polymer",PA,12.99,10.63,7.87,"Less than $49,999",
358,,,MarkForged,X5,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PA, PA-Glass",12.99,10.63,7.87,"Less than $49,999",
359,,,MarkForged,X7,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Aramid",13.0,9.8,7.87,"$50,000 - $99,999",
360,,,MASSIVit3D,Massivit 1500,,,,,,,,,Click for Details,,,Material Jetting,Polymer,,57.09,46.06,57.87,Price not reported,
361,,,MASSIVit3D,MASSIVit 1800,,,,,,,,,Click for Details,,,Material Jetting,Polymer,,48.0,60.0,72.0,"$250,000 - $499,999",
363,,,MCor Technologies,MCor Arke,,,,,,,,,Click for Details,,,Sheet Lamination,Paper,Paper,9.5,8.0,4.9,"Less than $49,999",
364,,,MCor Technologies,MCor IRIS HD,,,,,,,,,Click for Details,,,Sheet Lamination,Paper,Paper,10.08,6.65,5.91,"Less than $49,999",
365,,,Mimaki,3DUJ-553,,,,,,,,,Click for Details,,,Material Jetting,Polymer,,20.0,20.0,12.01,"$250,000 - $499,999",
366,,,miniFactory,Innovator2,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PEEK, ABS, PA",14.57,10.24,11.81,"Less than $49,999",
367,,,miniFactory,miniFactory Ultra,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PEI, PEKK, PEEK",12.99,7.09,7.09,"$50,000 - $99,999",
368,,,Mutoh,MF-2500EP,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PLA, TPC, SB, PVA",11.81,11.81,11.81,"Less than $49,999",
369,,,Mutoh,ML-200,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.56,4.25,7.87,"Less than $49,999",
370,,,Mutoh,ML-48,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,1.89,1.06,3.15,"Less than $49,999",
371,,,Mutoh,MR-5000,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PC, PA, PBT",19.69,19.69,19.69,"$50,000 - $99,999",
372,,,Nexa3D,NXV,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.09,5.51,7.87,"Less than $49,999",
373,,,NextDent (by 3D Systems),NextDent 5100,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,Resin,4.91,2.76,7.72,"Less than $49,999",
374,,,Optomec,LENS 450,,,,,,,,,Click for Details,,400,Directed Energy Deposition,Metal,"Steel, Nickel, Titanium, Cobalt, Aluminum",3.94,3.94,3.94,"$250,000 - $499,999",
375,,,Optomec,LENS 850-R,,,,,,,,,Click for Details,,1000,Directed Energy Deposition,Metal,"Steel, Nickel, Titanium, Cobalt, Aluminum",35.43,59.06,35.43,"$500,000 - $999,999",
379,,,Optomec,LENS MR-7,,,,,,,,,Click for Details,,500,Directed Energy Deposition,Metal,"Steel, Nickel, Titanium, Cobalt, Aluminum",11.81,11.81,11.81,"$500,000 - $999,999",
382,,,OR Laser,Orlas Creator,,,,,,,,,Click for Details,,250,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Aluminum, Nickel, Titanium,",3.94,3.94,4.33,Price not reported,
383,,,PrismLab,RP300,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,11.34,6.38,11.02,"$50,000 - $99,999",
384,,,PrismLab,RP400,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,8.5,15.12,15.12,"$50,000 - $99,999",
385,,,PrismLab,RP600,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,22.68,12.76,22.83,Price not reported,
386,,,Prodways,ProMaker L5000,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,15.75,12.99,15.75,"$100,000 - $249,999",
387,,,Prodways,ProMaker L5000 D,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,15.75,12.99,7.87,"$100,000 - $249,999",
388,,,Prodways,ProMaker L6000,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,31.5,12.99,15.75,"$250,000 - $499,999",
389,,,Prodways,ProMaker L6000 D,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,31.5,12.99,7.87,"$250,000 - $499,999",
390,,,Prodways,ProMaker L7000,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,31.5,12.99,15.75,"$250,000 - $499,999",
391,,,Prodways,ProMaker L7000 D,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,31.5,12.99,7.87,"$250,000 - $499,999",
392,,,Prodways,ProMaker LD-10,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,11.81,17.52,7.87,"$100,000 - $249,999",
393,,,Prodways,ProMaker LD3,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,2.52,4.72,5.12,"Less than $49,999",
394,,,Prodways,ProMaker P1000,,,,,,,,,Click for Details,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral",11.0,11.0,11.0,Price not reported,
395,,,Prodways,ProMaker P2000 HT,,,,,,,,,Click for Details,,60,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral, TPU",9.84,9.84,12.6,Price not reported,
396,,,Prodways,ProMaker P2000 SD,,,,,,,,,Click for Details,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral, TPU",9.84,9.84,12.6,Price not reported,
397,,,Prodways,ProMaker P2000 ST,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral, TPU",9.84,9.84,12.6,Price not reported,
398,,,Prodways,ProMaker P4500 HS,,,,,,,,,Click for Details,,60,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral",15.75,15.75,17.72,Price not reported,
399,,,Prodways,ProMaker P4500 HT,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral",15.75,15.75,17.72,Price not reported,
400,,,Prodways,ProMaker P4500 SD,,,,,,,,,Click for Details,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral",15.75,15.75,17.72,Price not reported,
401,,,Prodways,ProMaker P4500 X,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Mineral",15.75,15.75,17.72,Price not reported,
402,,,Prodways,ProMaker V6000,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,4.72,19.69,5.91,"$250,000 - $499,999",
403,,,Rapid Shape,D20 II,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.12,2.95,3.54,"Less than $49,999",
404,,,Rapid Shape,D30 II,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.12,2.95,4.33,"Less than $49,999",
405,,,Rapid Shape,D40 II,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.12,2.95,4.33,"Less than $49,999",
406,,,Rapid Shape,D90 II UV,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,6.3,3.94,5.91,"$50,000 - $99,999",
408,,,Rapid Shape,HA20 II,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.5,1.97,3.54,"Less than $49,999",
409,,,Rapid Shape,HA30 II,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.12,2.95,3.54,"Less than $49,999",
410,,,Rapid Shape,HA40 II,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,5.91,3.35,4.33,"Less than $49,999",
411,,,Rapid Shape,HA90 Speed,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,6.3,3.94,5.91,"$50,000 - $99,999",
412,,,Rapid Shape,HA90 Speed XL,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.56,4.72,5.91,"$50,000 - $99,999",
413,,,Rapid Shape,S30,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,1.968505,1.220473,3.149608,"Less than $49,999",
414,,,Rapid Shape,S30 e,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,4.33,2.44,3.15,"Less than $49,999",
415,,,Rapid Shape,S30 L,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.267718,1.811025,3.149608,"Less than $49,999",
416,,,Rapid Shape,S40,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.27,1.81,3.15,"Less than $49,999",
417,,,Rapid Shape,S60,,,,,,,,,Click for Details,Maxi,,Vat Photopolymerization (e.g. SLA),Polymer,,4.88,2.76,4.33,"$50,000 - $99,999",
419,,,Rapid Shape,S90 speed,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,6.3,3.94,6.1,"$50,000 - $99,999",
420,,,Rapid Shape,S90 speed XL,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.56,4.72,6.1,"$50,000 - $99,999",
421,,,Raplas,RPS-2 450 HD+,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,17.72,17.72,13.78,Price not reported,
422,,,Raplas,RPS-2 700 HD+,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,27.56,27.56,19.69,Price not reported,
423,,,Raycham,RC-LDM1500-5N,,,,,,,,,Click for Details,,2000-15000,Directed Energy Deposition,Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Copper",59.06,39.37,39.37,Price not reported,
424,,,Raycham,RC-LDM2020,,,,,,,,,Click for Details,,500-2000,Directed Energy Deposition,Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Copper",7.87,7.87,7.87,Price not reported,
425,,,Raycham,RC-LDM4000,,,,,,,,,Click for Details,,2000-15000,Directed Energy Deposition,Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Copper",157.48,137.8,118.11,Price not reported,
426,,,Raycham,RC-LDM8060,,,,,,,,,Click for Details,,2000-15000,Directed Energy Deposition,Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Copper",31.5,23.62,35.43,Price not reported,
427,,,Raycham,RC-M250,,,,,,,,,Click for Details,,200-400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",9.84,9.84,11.81,Price not reported,
428,,,Raycham,RC-M400,,,,,,,,,Click for Details,,200-400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",9.84,9.84,11.81,Price not reported,
429,,,Raycham,RC-WAAM-150100,,,,,,,,,Click for Details,,,Directed Energy Deposition,Metal,"Titanium, Aluminum, Steel, Copper",59.06,39.37,39.37,Price not reported,
430,,,Raycham,RC-WAAM-3020,,,,,,,,,Click for Details,,,Directed Energy Deposition,Metal,"Titanium, Aluminum, Steel, Copper",118.11,78.74,39.37,Price not reported,
431,,,Re3D,Gigabot 3+,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PA, PET",23.23,23.62,23.62,"Less than $49,999",
433,,,Re3D,Gigabot 3+ XL,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PA, PET",23.23,29.92,23.62,"Less than $49,999",
435,,,Re3D,Gigabot 3+ XLT,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PA, PET",23.23,29.92,35.43,"Less than $49,999",
436,,,Realizer,SLM 125 (Realizer),,,,,,,,,Click for Details,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",4.92,4.92,7.87,"$250,000 - $499,999",
437,,,Realizer,SLM 250,,,,,,,,,Click for Details,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",9.84,9.84,11.81,"$250,000 - $499,999",
438,,,Realizer,SLM 300i,,,,,,,,,Click for Details,,400-1000,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel",11.8,11.8,11.02,Price not reported,
439,,,Realizer,SLM 50,,,,,,,,,Click for Details,,,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Aluminum, Cobalt, Nickel, Gold",2.76,2.76,1.57,"$100,000 - $249,999",
440,,,Renishaw,AM 250,,,,,,,,,Click for Details,,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Nickel, Titanium, Steel, Cobalt",9.65,9.65,11.81,"$500,000 - $999,999",
442,,,Renishaw,AM 400,,,,,,,,,Click for Details,,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Nickel, Titanium, Steel, Cobalt",9.84,9.84,11.81,Price not reported,
443,,,Renishaw,RenAM 500M,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Nickel, Titanium, Steel, Cobalt",9.84,9.84,13.78,Price not reported,
444,,,Renishaw,RenAM 500Q,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Nickel, Titanium, Steel, Cobalt",9.65,9.65,13.23,Price not reported,
445,,,RICOH,RICOH AM S5500P,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),Polymer,"PA, PP, PA-Glass, PA-Carbon",21.6,21.6,21.6,"$500,000 - $999,999",
446,,,Rize,Rize One,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,,12.0,8.0,6.0,"Less than $49,999",
